ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
721,Jacques Francois,https://fonts.google.com/specimen/Jacques+Francois,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
722,Jacques Francois Shadow,https://fonts.google.com/specimen/Jacques+Francois+Shadow,Display,Shadow serif headers,Shadow serif character,Shadow style limits general use,Shadow sites,Open Sans
723,Jaldi,https://fonts.google.com/specimen/Jaldi,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
724,Jaro,https://fonts.google.com/specimen/Jaro,Sans Serif,Minimalist sans body,Minimalist sans clarity,Minimalist style limits expressive use,Minimal sites,Merriweather
725,JetBrains Mono,https://fonts.google.com/specimen/JetBrains+Mono,Monospace,IDE code display,Developer-optimized clarity,IDE association limits general use,Developer tools,Inter
726,Jim Nightshade,https://fonts.google.com/specimen/Jim+Nightshade,Script,Nightshade script headers,Nightshade script character,Script fonts rarely AI default,Nightshade sites,Open Sans
727,Joan,https://fonts.google.com/specimen/Joan,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
728,Jockey One,https://fonts.google.com/specimen/Jockey+One,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
729,Jolly Lodger,https://fonts.google.com/specimen/Jolly+Lodger,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
730,Jomhuria,https://fonts.google.com/specimen/Jomhuria,Display,Arabic display headers,Arabic display character,Cultural origin limits AI use,Arabic display sites,Open Sans
731,Jomolhari,https://fonts.google.com/specimen/Jomolhari,Serif,Tibetan serif body,Tibetan serif tradition,Cultural origin limits AI use,Tibetan sites,Open Sans
730,Jost,https://fonts.google.com/specimen/Jost,Sans Serif,Futura-inspired body,Futura-inspired geometric charm,Futura inspiration not AI default,Modern sites,Merriweather
731,Josefin Sans,https://fonts.google.com/specimen/Josefin+Sans,Sans Serif,Geometric display headers,Vintage geometric charm,Geometric style not AI default,Retro brands,Josefin Slab
732,Josefin Slab,https://fonts.google.com/specimen/Josefin+Slab,Serif,Geometric slab headers,Vintage slab character,Geometric slab rare in AI,Retro brands,Josefin Sans
733,Joti One,https://fonts.google.com/specimen/Joti+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
734,Jua,https://fonts.google.com/specimen/Jua,Sans Serif,Korean sans body,Korean sans clarity,Cultural origin limits AI use,Korean sites,Open Sans
735,Judson,https://fonts.google.com/specimen/Judson,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
736,Julee,https://fonts.google.com/specimen/Julee,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
737,Julius Sans One,https://fonts.google.com/specimen/Julius+Sans+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
738,Junge,https://fonts.google.com/specimen/Junge,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
739,Jura,https://fonts.google.com/specimen/Jura,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
740,Just Another Hand,https://fonts.google.com/specimen/Just+Another+Hand,Handwriting,Casual handwriting body,Casual handwriting character,Handwriting fonts rarely AI default,Personal sites,Open Sans
741,Just Me Again Down Here,https://fonts.google.com/specimen/Just+Me+Again+Down+Here,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
742,K2D,https://fonts.google.com/specimen/K2D,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
743,Kadwa,https://fonts.google.com/specimen/Kadwa,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
744,Kaisei Decol,https://fonts.google.com/specimen/Kaisei+Decol,Serif,Japanese decorative serif,Japanese decorative character,Cultural origin limits AI use,Japanese decorative sites,Open Sans
745,Kaisei HarunoUmi,https://fonts.google.com/specimen/Kaisei+HarunoUmi,Serif,Japanese spring serif,Japanese spring character,Cultural origin limits AI use,Japanese spring sites,Open Sans
746,Kaisei Opti,https://fonts.google.com/specimen/Kaisei+Opti,Serif,Japanese optical serif,Japanese optical character,Cultural origin limits AI use,Japanese optical sites,Open Sans
747,Kaisei Tokumin,https://fonts.google.com/specimen/Kaisei+Tokumin,Serif,Japanese tokumin serif,Japanese tokumin character,Cultural origin limits AI use,Japanese tokumin sites,Open Sans
748,Kalam,https://fonts.google.com/specimen/Kalam,Handwriting,Indian handwriting body,Indian handwriting character,Cultural origin limits AI use,Indian personal sites,Open Sans
749,Kameron,https://fonts.google.com/specimen/Kameron,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
750,Kanit,https://fonts.google.com/specimen/Kanit,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
751,Kantumruy Pro,https://fonts.google.com/specimen/Kantumruy+Pro,Sans Serif,Khmer professional UI,Khmer professional clarity,Cultural origin limits AI use,Khmer professional sites,Open Sans
752,Karantina,https://fonts.google.com/specimen/Karantina,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
753,Karla,https://fonts.google.com/specimen/Karla,Sans Serif,Grotesque body text,Grotesque warmth,Grotesque style not AI default,Design agencies,Lora
754,Karma,https://fonts.google.com/specimen/Karma,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
755,Katibeh,https://fonts.google.com/specimen/Katibeh,Display,Arabic display headers,Arabic display character,Cultural origin limits AI use,Arabic display sites,Open Sans
756,Kaushan Script,https://fonts.google.com/specimen/Kaushan+Script,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
757,Kavivanar,https://fonts.google.com/specimen/Kavivanar,Handwriting,Tamil handwriting body,Tamil handwriting character,Cultural origin limits AI use,Tamil handwriting sites,Open Sans
758,Kavoon,https://fonts.google.com/specimen/Kavoon,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
759,Kay Pho Du,https://fonts.google.com/specimen/Kay+Pho+Du,Serif,Kayah Li serif body,Kayah Li serif tradition,Cultural origin limits AI use,Kayah Li sites,Open Sans
760,Kdam Thmor Pro,https://fonts.google.com/specimen/Kdam+Thmor+Pro,Sans Serif,Khmer professional UI,Khmer professional clarity,Cultural origin limits AI use,Khmer professional sites,Open Sans
761,Keania One,https://fonts.google.com/specimen/Keania+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
762,Kelly Slab,https://fonts.google.com/specimen/Kelly+Slab,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
763,Kenia,https://fonts.google.com/specimen/Kenia,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
764,Khand,https://fonts.google.com/specimen/Khand,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
765,Khmer,https://fonts.google.com/specimen/Khmer,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
766,Khula,https://fonts.google.com/specimen/Khula,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
767,Kings,https://fonts.google.com/specimen/Kings,Script,Royal script headers,Royal script character,Script fonts rarely AI default,Royal sites,Open Sans
768,Kirang Haerang,https://fonts.google.com/specimen/Kirang+Haerang,Display,Korean display headers,Korean display character,Cultural origin limits AI use,Korean display sites,Open Sans
769,Kite One,https://fonts.google.com/specimen/Kite+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
770,Kiwi Maru,https://fonts.google.com/specimen/Kiwi+Maru,Serif,Japanese maru serif,Japanese maru character,Cultural origin limits AI use,Japanese maru sites,Open Sans
771,Klee One,https://fonts.google.com/specimen/Klee+One,Sans Serif,Japanese sans body,Japanese sans clarity,Cultural origin limits AI use,Japanese sites,Open Sans
772,Knewave,https://fonts.google.com/specimen/Knewave,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
773,KoHo,https://fonts.google.com/specimen/KoHo,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
774,Kodchasan,https://fonts.google.com/specimen/Kodchasan,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
775,Koh Santepheap,https://fonts.google.com/specimen/Koh+Santepheap,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
776,Kolker Brush,https://fonts.google.com/specimen/Kolker+Brush,Script,Brush script headers,Brush script energy,Script fonts rarely AI default,Brush sites,Open Sans
777,Konkhmer Sleokchher,https://fonts.google.com/specimen/Konkhmer+Sleokchher,Display,Khmer display headers,Khmer display character,Cultural origin limits AI use,Khmer display sites,Open Sans
778,Kosugi,https://fonts.google.com/specimen/Kosugi,Sans Serif,Japanese sans body,Japanese sans clarity,Cultural origin limits AI use,Japanese sites,Open Sans
779,Kosugi Maru,https://fonts.google.com/specimen/Kosugi+Maru,Sans Serif,Japanese maru sans,Japanese maru clarity,Cultural origin limits AI use,Japanese maru sites,Open Sans
780,Kotta One,https://fonts.google.com/specimen/Kotta+One,Serif,Decorative serif headers,Decorative serif charm,Decorative style limits general use,Decorative sites,Open Sans
781,Koulen,https://fonts.google.com/specimen/Koulen,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
782,Kranky,https://fonts.google.com/specimen/Kranky,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
783,Kreon,https://fonts.google.com/specimen/Kreon,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
784,Kristi,https://fonts.google.com/specimen/Kristi,Script,Signature script headers,Signature script character,Script fonts rarely AI default,Personal sites,Open Sans
785,Krona One,https://fonts.google.com/specimen/Krona+One,Sans Serif,Low contrast sans body,Low contrast sans clarity,Low contrast style not AI default,Low contrast sites,Merriweather
786,Krub,https://fonts.google.com/specimen/Krub,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
787,Kufam,https://fonts.google.com/specimen/Kufam,Sans Serif,Arabic-inspired sans,Arabic-inspired character,Cultural origin limits AI use,Arabic-inspired sites,Open Sans
788,Kulim Park,https://fonts.google.com/specimen/Kulim+Park,Sans Serif,Malaysian sans body,Malaysian sans clarity,Cultural origin limits AI use,Malaysian sites,Open Sans
789,Kumar One,https://fonts.google.com/specimen/Kumar+One,Display,Gujarati display headers,Gujarati display character,Cultural origin limits AI use,Gujarati display sites,Open Sans
790,Kumar One Outline,https://fonts.google.com/specimen/Kumar+One+Outline,Display,Outlined Gujarati display,Outlined Gujarati character,Outline style limits general use,Outlined Gujarati sites,Open Sans
791,Kumbh Sans,https://fonts.google.com/specimen/Kumbh+Sans,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
792,Kurale,https://fonts.google.com/specimen/Kurale,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
793,La Belle Aurore,https://fonts.google.com/specimen/La+Belle+Aurore,Handwriting,French handwritten headers,French handwriting charm,Cultural specificity limits AI use,French brands,Lato
794,Labrada,https://fonts.google.com/specimen/Labrada,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
795,Lacquer,https://fonts.google.com/specimen/Lacquer,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
796,Laila,https://fonts.google.com/specimen/Laila,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
797,Lakki Reddy,https://fonts.google.com/specimen/Lakki+Reddy,Handwriting,Telugu handwriting body,Telugu handwriting character,Cultural origin limits AI use,Telugu handwriting sites,Open Sans
798,Lalezar,https://fonts.google.com/specimen/Lalezar,Display,Arabic display headers,Arabic display character,Cultural origin limits AI use,Arabic display sites,Open Sans
799,Lancelot,https://fonts.google.com/specimen/Lancelot,Display,Medieval display headers,Medieval display character,Themed font limits general use,Medieval sites,Open Sans
800,Langar,https://fonts.google.com/specimen/Langar,Display,Gurmukhi display headers,Gurmukhi display character,Cultural origin limits AI use,Gurmukhi display sites,Open Sans
801,Lateef,https://fonts.google.com/specimen/Lateef,Serif,Arabic serif body,Arabic serif tradition,Cultural origin limits AI use,Arabic editorial sites,Open Sans
802,Lato,https://fonts.google.com/specimen/Lato,Sans Serif,Corporate body text,Corporate sans warmth,Common but still quality choice,Corporate sites,Merriweather
803,Lavishly Yours,https://fonts.google.com/specimen/Lavishly+Yours,Script,Luxurious script headers,Luxurious script warmth,Script fonts rarely AI default,Luxury sites,Open Sans
804,League Gothic,https://fonts.google.com/specimen/League+Gothic,Sans Serif,Condensed gothic headers,Condensed gothic strength,Condensed style not AI default,Gothic sites,Open Sans
805,League Script,https://fonts.google.com/specimen/League+Script,Script,Script headers,Script warmth,Script fonts rarely AI default,Personal sites,Open Sans
806,League Spartan,https://fonts.google.com/specimen/League+Spartan,Sans Serif,Spartan geometric body,Spartan geometric strength,Geometric style not AI default,Strong brands,Merriweather
807,Leckerli One,https://fonts.google.com/specimen/Leckerli+One,Handwriting,Playful handwriting body,Playful handwriting charm,Handwriting fonts rarely AI default,Food sites,Open Sans
808,Ledger,https://fonts.google.com/specimen/Ledger,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
809,Lekton,https://fonts.google.com/specimen/Lekton,Sans Serif,Technical sans body,Technical sans clarity,Technical style limits general use,Technical sites,Merriweather
810,Lemon,https://fonts.google.com/specimen/Lemon,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
811,Lemonada,https://fonts.google.com/specimen/Lemonada,Display,Arabic display headers,Arabic display character,Cultural origin limits AI use,Arabic display sites,Open Sans
812,Lexend,https://fonts.google.com/specimen/Lexend,Sans Serif,Reading-optimized sans,Reading clarity,Reading focus limits AI use,Reading sites,Merriweather
813,Lexend Deca,https://fonts.google.com/specimen/Lexend+Deca,Sans Serif,Deca reading sans,Deca reading clarity,Reading focus limits AI use,Deca reading sites,Merriweather
814,Lexend Exa,https://fonts.google.com/specimen/Lexend+Exa,Sans Serif,Exa reading sans,Exa reading clarity,Reading focus limits AI use,Exa reading sites,Merriweather
815,Lexend Giga,https://fonts.google.com/specimen/Lexend+Giga,Sans Serif,Giga reading sans,Giga reading clarity,Reading focus limits AI use,Giga reading sites,Merriweather
816,Lexend Mega,https://fonts.google.com/specimen/Lexend+Mega,Sans Serif,Mega reading sans,Mega reading clarity,Reading focus limits AI use,Mega reading sites,Merriweather
817,Lexend Peta,https://fonts.google.com/specimen/Lexend+Peta,Sans Serif,Peta reading sans,Peta reading clarity,Reading focus limits AI use,Peta reading sites,Merriweather
818,Lexend Tera,https://fonts.google.com/specimen/Lexend+Tera,Sans Serif,Tera reading sans,Tera reading clarity,Reading focus limits AI use,Tera reading sites,Merriweather
819,Lexend Zetta,https://fonts.google.com/specimen/Lexend+Zetta,Sans Serif,Zetta reading sans,Zetta reading clarity,Reading focus limits AI use,Zetta reading sites,Merriweather
820,Libre Barcode 128,https://fonts.google.com/specimen/Libre+Barcode+128,Display,Barcode display,Barcode character,Themed font limits general use,Barcode sites,Open Sans
821,Libre Barcode 128 Text,https://fonts.google.com/specimen/Libre+Barcode+128+Text,Display,Barcode text display,Barcode text character,Themed font limits general use,Barcode text sites,Open Sans
822,Libre Barcode 39,https://fonts.google.com/specimen/Libre+Barcode+39,Display,Barcode 39 display,Barcode 39 character,Themed font limits general use,Barcode 39 sites,Open Sans
823,Libre Barcode 39 Extended,https://fonts.google.com/specimen/Libre+Barcode+39+Extended,Display,Extended barcode display,Extended barcode character,Themed font limits general use,Extended barcode sites,Open Sans
824,Libre Barcode 39 Extended Text,https://fonts.google.com/specimen/Libre+Barcode+39+Extended+Text,Display,Extended barcode text,Extended barcode text character,Themed font limits general use,Extended barcode text sites,Open Sans
825,Libre Barcode 39 Text,https://fonts.google.com/specimen/Libre+Barcode+39+Text,Display,Barcode 39 text display,Barcode 39 text character,Themed font limits general use,Barcode 39 text sites,Open Sans
826,Libre Barcode EAN13 Text,https://fonts.google.com/specimen/Libre+Barcode+EAN13+Text,Display,EAN13 barcode text,EAN13 barcode text character,Themed font limits general use,EAN13 barcode text sites,Open Sans
827,Libre Baskerville,https://fonts.google.com/specimen/Libre+Baskerville,Serif,Web-optimized Baskerville,Screen-optimized Baskerville clarity,Web optimization not AI default,Editorial sites,Source Sans 3
828,Libre Bodoni,https://fonts.google.com/specimen/Libre+Bodoni,Serif,Bodoni-inspired serif,Bodoni serif elegance,Bodoni style not AI default,Luxury sites,Open Sans
829,Libre Caslon Display,https://fonts.google.com/specimen/Libre+Caslon+Display,Serif,Caslon display headers,Caslon display elegance,Caslon style not AI default,Luxury sites,Open Sans
830,Libre Caslon Text,https://fonts.google.com/specimen/Libre+Caslon+Text,Serif,Caslon body text,Caslon serif tradition,Caslon style not AI default,Historical sites,Open Sans
831,Libre Franklin,https://fonts.google.com/specimen/Libre+Franklin,Sans Serif,Open source project UI,Neutral reliability,Open source association,FOSS projects,Libre Baskerville
832,Licorice,https://fonts.google.com/specimen/Licorice,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
833,Life Savers,https://fonts.google.com/specimen/Life+Savers,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
834,Lilita One,https://fonts.google.com/specimen/Lilita+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
835,Lily Script One,https://fonts.google.com/specimen/Lily+Script+One,Script,Script display headers,Script display character,Script fonts rarely AI default,Script display sites,Open Sans
836,Limelight,https://fonts.google.com/specimen/Limelight,Display,Art deco display headers,Art deco display character,Art deco style not AI default,Art deco sites,Open Sans
837,Linden Hill,https://fonts.google.com/specimen/Linden+Hill,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
838,Linefont,https://fonts.google.com/specimen/Linefont,Display,Line display headers,Line display character,Line style limits general use,Line sites,Open Sans
839,Lisu Bosa,https://fonts.google.com/specimen/Lisu+Bosa,Serif,Lisu serif body,Lisu serif tradition,Cultural origin limits AI use,Lisu sites,Open Sans
840,Literata,https://fonts.google.com/specimen/Literata,Serif,E-book body text,Reading-optimized serif,Designed for Google Play Books,Reading apps,Roboto
841,Liu Jian Mao Cao,https://fonts.google.com/specimen/Liu+Jian+Mao+Cao,Handwriting,Chinese handwriting body,Chinese handwriting character,Cultural origin limits AI use,Chinese handwriting sites,Open Sans
842,Livvic,https://fonts.google.com/specimen/Livvic,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
843,Lobster,https://fonts.google.com/specimen/Lobster,Script,Bold script headers,Bold script energy,Common but not AI default anymore,Casual sites,Open Sans
844,Lobster Two,https://fonts.google.com/specimen/Lobster+Two,Script,Bold script headers v2,Bold script energy v2,Common but not AI default anymore,Casual sites,Open Sans
845,Londrina Outline,https://fonts.google.com/specimen/Londrina+Outline,Display,Outline display headers,Outline display character,Outline style limits general use,Outline sites,Open Sans
846,Londrina Shadow,https://fonts.google.com/specimen/Londrina+Shadow,Display,Shadow display headers,Shadow display character,Shadow style limits general use,Shadow sites,Open Sans
847,Londrina Sketch,https://fonts.google.com/specimen/Londrina+Sketch,Display,Sketch display headers,Sketch display character,Sketch style limits general use,Sketch sites,Open Sans
848,Londrina Solid,https://fonts.google.com/specimen/Londrina+Solid,Display,Solid display headers,Solid display character,Solid style limits general use,Solid sites,Open Sans
849,Long Cang,https://fonts.google.com/specimen/Long+Cang,Handwriting,Chinese handwriting body,Chinese handwriting character,Cultural origin limits AI use,Chinese handwriting sites,Open Sans
850,Lora,https://fonts.google.com/specimen/Lora,Serif,Blog body text,Calligraphic serif warmth,Common but not AI default anymore,Personal blogs,Open Sans
851,Loved by the King,https://fonts.google.com/specimen/Loved+by+the+King,Handwriting,Royal handwriting body,Royal handwriting warmth,Handwriting fonts rarely AI default,Royal sites,Open Sans
852,Lovers Quarrel,https://fonts.google.com/specimen/Lovers+Quarrel,Script,Romantic script headers,Romantic script warmth,Romantic style limits general use,Romantic sites,Open Sans
853,Luckiest Guy,https://fonts.google.com/specimen/Luckiest+Guy,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
854,Lugrasimo,https://fonts.google.com/specimen/Lugrasimo,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
855,Lumanosimo,https://fonts.google.com/specimen/Lumanosimo,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
856,Lunasima,https://fonts.google.com/specimen/Lunasima,Sans Serif,Space-themed sans,Space-themed character,Themed font limits general use,Space sites,Merriweather
857,Lusitana,https://fonts.google.com/specimen/Lusitana,Serif,Portuguese serif body,Portuguese serif tradition,Cultural origin limits AI use,Portuguese editorial sites,Open Sans
858,Lustria,https://fonts.google.com/specimen/Lustria,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
859,Luxurious Roman,https://fonts.google.com/specimen/Luxurious+Roman,Serif,Luxurious Roman serif,Luxurious Roman character,Roman style not AI default,Luxury Roman sites,Open Sans
860,Luxurious Script,https://fonts.google.com/specimen/Luxurious+Script,Script,Luxurious script headers,Luxurious script warmth,Script fonts rarely AI default,Luxury sites,Open Sans
861,M PLUS 1,https://fonts.google.com/specimen/M+PLUS+1,Sans Serif,Japanese sans body,Japanese sans clarity,Cultural origin limits AI use,Japanese sites,Open Sans
862,M PLUS 1 Code,https://fonts.google.com/specimen/M+PLUS+1+Code,Monospace,Japanese monospace,Japanese monospace clarity,Cultural origin limits AI use,Japanese dev tools,Open Sans
863,M PLUS 1p,https://fonts.google.com/specimen/M+PLUS+1p,Sans Serif,Japanese proportional sans,Japanese proportional clarity,Cultural origin limits AI use,Japanese proportional sites,Open Sans
864,M PLUS 2,https://fonts.google.com/specimen/M+PLUS+2,Sans Serif,Japanese sans body v2,Japanese sans clarity v2,Cultural origin limits AI use,Japanese sites v2,Open Sans
865,M PLUS Code Latin,https://fonts.google.com/specimen/M+PLUS+Code+Latin,Sans Serif,Latin code sans,Latin code clarity,Code style limits general use,Code sites,Open Sans
866,M PLUS Rounded 1c,https://fonts.google.com/specimen/M+PLUS+Rounded+1c,Sans Serif,Japanese rounded sans,Japanese rounded clarity,Cultural origin limits AI use,Japanese rounded sites,Open Sans
867,Macan,https://fonts.google.com/specimen/Macan,Sans Serif,Modern geometric body,Geometric sans clarity,Newer font not widely known,Modern sites,Merriweather
868,Mada,https://fonts.google.com/specimen/Mada,Sans Serif,Arabic sans body,Arabic sans clarity,Cultural origin limits AI use,Arabic sites,Open Sans
869,Magra,https://fonts.google.com/specimen/Magra,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
870,Maiden Orange,https://fonts.google.com/specimen/Maiden+Orange,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
871,Maitree,https://fonts.google.com/specimen/Maitree,Serif,Thai serif body,Thai serif tradition,Cultural origin limits AI use,Thai editorial sites,Open Sans
872,Major Mono Display,https://fonts.google.com/specimen/Major+Mono+Display,Monospace,Monospace display headers,Monospace display character,Monospace style not AI default,Monospace display sites,Open Sans
873,Mako,https://fonts.google.com/specimen/Mako,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
874,Mali,https://fonts.google.com/specimen/Mali,Handwriting,Thai handwriting body,Thai handwriting character,Cultural origin limits AI use,Thai handwriting sites,Open Sans
875,Mallanna,https://fonts.google.com/specimen/Mallanna,Sans Serif,Telugu sans body,Telugu sans clarity,Cultural origin limits AI use,Telugu sites,Open Sans
876,Mandali,https://fonts.google.com/specimen/Mandali,Sans Serif,Telugu sans body,Telugu sans clarity,Cultural origin limits AI use,Telugu sites,Open Sans
877,Manjari,https://fonts.google.com/specimen/Manjari,Sans Serif,Malayalam sans body,Malayalam sans clarity,Cultural origin limits AI use,Malayalam sites,Open Sans
878,Manrope,https://fonts.google.com/specimen/Manrope,Sans Serif,Modern startup UI,Geometric clarity,Newer font not yet saturated,App landing pages,DM Serif Text
879,Mansalva,https://fonts.google.com/specimen/Mansalva,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
880,Manuale,https://fonts.google.com/specimen/Manuale,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
881,Marcellus,https://fonts.google.com/specimen/Marcellus,Serif,Roman serif body,Roman serif authority,Roman style not AI default,Historical sites,Open Sans
882,Marcellus SC,https://fonts.google.com/specimen/Marcellus+SC,Serif,Roman small caps,Roman small caps elegance,Roman style not AI default,Historical sites,Open Sans
883,Marck Script,https://fonts.google.com/specimen/Marck+Script,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
884,Margarine,https://fonts.google.com/specimen/Margarine,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
885,Marhey,https://fonts.google.com/specimen/Marhey,Sans Serif,Arabic sans body,Arabic sans clarity,Cultural origin limits AI use,Arabic sites,Open Sans
886,Markazi Text,https://fonts.google.com/specimen/Markazi+Text,Serif,Arabic serif body,Arabic serif tradition,Cultural origin limits AI use,Arabic editorial sites,Open Sans
887,Marko One,https://fonts.google.com/specimen/Marko+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
888,Marmelad,https://fonts.google.com/specimen/Marmelad,Sans Serif,Ukrainian brand identity,Gentle warmth,Cultural origin limits AI exposure,Eastern European brands,PT Serif
889,Martel,https://fonts.google.com/specimen/Martel,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
890,Martel Sans,https://fonts.google.com/specimen/Martel+Sans,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
891,Martian Mono,https://fonts.google.com/specimen/Martian+Mono,Monospace,Space-themed monospace,Space-themed monospace character,Themed monospace limits general use,Space dev tools,Open Sans
892,Marvel,https://fonts.google.com/specimen/Marvel,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
893,Mate,https://fonts.google.com/specimen/Mate,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
894,Mate SC,https://fonts.google.com/specimen/Mate+SC,Serif,Small caps serif,Small caps serif elegance,Small caps style not AI default,Small caps sites,Open Sans
895,Maven Pro,https://fonts.google.com/specimen/Maven+Pro,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
896,McLaren,https://fonts.google.com/specimen/McLaren,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
897,Mea Culpa,https://fonts.google.com/specimen/Mea+Culpa,Handwriting,Apologetic handwriting body,Apologetic handwriting warmth,Handwriting fonts rarely AI default,Apologetic sites,Open Sans
